com_id,com_nam,lin_ima,spo_nam,aff_com_nam,tot_rec,tot_dis,cas_on_han,cov_end_dat
C00381384,13TH COLONY LEADERSHIP COMMITTEE INC,http://docquery.fec.gov/cgi-bin/fecimg/?C00381384,,JOHN HEDDENS KINGSTON,"$15,009.70","$20,852.00","$64,897.11",2013-06-30
C00498709,19TH STAR PAC INC; THE,http://docquery.fec.gov/cgi-bin/fecimg/?C00498709,"LUGAR, SEN. RICHARD G.",LUGAR,"$9,066.90","$6,283.00","$90,583.86",2013-09-30
C00361956,21ST CENTURY MAJORITY FUND,http://docquery.fec.gov/cgi-bin/fecimg/?C00361956,,JOHNNY ISAKSON,"$378,948.80","$321,854.50","$300,405.86",2013-11-30
C00315747,21ST CENTURY PAC,http://docquery.fec.gov/cgi-bin/fecimg/?C00315747,"MCKEON, HOWARD",MCKEON,"$158,910.50","$110,926.90","$56,414.86",2013-10-31
C00448563,3RD AND LONG PAC,http://docquery.fec.gov/cgi-bin/fecimg/?C00448563,,HEATH SHULER FOR CONGRESS,,$600.00,"$6,732.19",2013-10-31
C00416552,3T PAC,http://docquery.fec.gov/cgi-bin/fecimg/?C00416552,"RAHALL, NICK",,"$10,000.00","$32,760.00","$28,604.61",2013-06-30
C00543504,4MA PAC,http://docquery.fec.gov/cgi-bin/fecimg/?C00543504,,JOSEPH P KENNEDY III,"$22,000.20","$13,657.70","$8,342.46",2013-09-30
C00457044,A MORE PERFECT UNION,http://docquery.fec.gov/cgi-bin/fecimg/?C00457044,"JACKSON, JR., JESSE","JACKSON, JR.",,$997.10,,2013-01-11
C00458570,A NEW DIRECTION PAC,http://docquery.fec.gov/cgi-bin/fecimg/?C00458570,,SENATOR JEANNE SHAHEEN,"$25,500.00","$32,778.70","$15,633.99",2013-06-30
C00471813,ACCOUNTABILITY PAC,http://docquery.fec.gov/cgi-bin/fecimg/?C00471813,,BILL POSEY,,,"$7,695.00",2013-06-30
C00411579,ACTON PAC,http://docquery.fec.gov/cgi-bin/fecimg/?C00411579,"WESTMORELAND, LYNN",WESTMORELAND,"$83,500.00","$88,698.50","$7,022.40",2013-10-31
C00508929,ADIRONDACK JOBS PAC,http://docquery.fec.gov/cgi-bin/fecimg/?C00508929,,WILLIAM L OWENS,"$5,000.00","$5,473.20","$17,396.61",2013-06-30
C00368571,ADVANCE THE MAJORITY POLITICAL ACTION COMMITTEE,http://docquery.fec.gov/cgi-bin/fecimg/?C00368571,"MILLER, JEFFERSON B.",,,"$21,842.30","$4,334.40",2013-06-30
C00387464,ALAMO PAC,http://docquery.fec.gov/cgi-bin/fecimg/?C00387464,"CORNYN, JOHN",CORNYN,"$303,025.40","$329,542.90","$227,879.76",2013-07-15
C00344788,ALL AMERICA PAC,http://docquery.fec.gov/cgi-bin/fecimg/?C00344788,,EVAN BAYH,"$27,008.40","$7,115.90","$428,333.94",2013-09-30
C00451278,"ALL NEW SOLAR, WIND & EFFICIENCY RESOURCES PAC (ANSWER PAC)",http://docquery.fec.gov/cgi-bin/fecimg/?C00451278,,CONGRESSMAN JOHN HALL,,,"$1,263.45",2013-06-30
C00483628,ALL POWER TO THE PEOPLE PAC,http://docquery.fec.gov/cgi-bin/fecimg/?C00483628,"RUSH, BOBBY",RUSH,,$90.00,$532.08,2013-06-30
C00493221,ALLEN WEST GUARDIAN FUND,http://docquery.fec.gov/cgi-bin/fecimg/?C00493221,,ALLEN B WEST,"$1,346,094.60","$636,933.90","$728,054.26",2013-06-30
C00095109,ALLIANZ OF AMERICA CORPORATION/FIREMAN'S FUND POLITICAL ACTION COMMITTEE,http://docquery.fec.gov/cgi-bin/fecimg/?C00095109,,ALLIANZ OF AMERICA CORPORATION,"$59,367.00","$52,050.00","$68,388.21",2013-11-30
